29.476,65.136,31.701,65.772,3.477,2.375,1.48,75.141,78.906
30.964,64.537,30.964,64.537,3.459,2.436,1.501,76.373,79.011
29.476,66.297,30.358,64.026,3.257,2.357,1.47,76.792,78.366
30.358,65.659,31.931,66.801,3.382,2.357,1.47,76.504,79.011
30.964,65.056,32.525,66.161,3.294,2.418,1.52,76.097,79.647
29.055,64.537,32.525,67.964,3.171,2.418,1.481,75.426,80.087
30.005,63.435,32.905,67.286,3.288,2.392,1.541,75.7,79.647
29.124,66.297,31.201,65.136,3.421,2.437,1.462,75.426,79.448
28.443,62.879,30.964,64.592,3.789,2.436,1.49,75.964,80.087
27.824,63.435,30.606,64.592,3.498,2.369,1.481,75.964,79.448
29.396,65.136,29.659,63.435,3.64,2.428,1.462,76.373,78.476
27.824,62.85,29.745,65.225,3.747,2.435,1.462,75.285,79.895
28.156,64.592,30.358,65.225,4.042,2.35,1.481,75.285,79.448
27.86,64.026,30.005,62.85,3.91,2.411,1.509,75.689,78.799
27.824,63.435,30.358,65.225,3.899,2.438,1.462,75.141,79.992
28.78,64.592,30.358,65.772,3.696,2.381,1.481,75.822,79.592
29.476,66.297,30.964,64.592,3.823,2.375,1.49,75.548,78.579
29.476,65.772,30.358,64.592,3.664,2.375,1.491,75.828,78.799
28.496,65.225,29.396,64.026,3.696,2.357,1.462,76.792,78.69
28.78,64.592,30.719,66.975,3.664,2.375,1.462,75.285,79.448
29.745,66.297,31.562,66.801,3.376,2.418,1.462,75.964,78.906
29.124,64.592,30.358,64.592,3.866,2.374,1.49,75.828,79.346
28.156,62.85,30.358,64.592,3.46,2.358,1.49,76.239,79.796
29.476,66.975,29.659,63.435,3.421,2.482,1.461,76.921,77.829
29.124,64.592,29.396,62.85,3.597,2.418,1.49,76.373,79.448
29.396,65.136,30.358,65.772,3.557,2.392,1.462,75.285,79.548
25.615,60.422,28.78,62.819,3.821,2.4,1.462,75.964,80.819
25.278,60.945,27.198,60.255,3.83,2.445,1.462,76.39,80.256
26.565,61.607,26.878,59.744,3.862,2.375,1.462,76.39,80.256
25.615,60.945,25.641,57.848,4.127,2.381,1.415,77.989,80.727
25.925,63.435,25.641,59.036,4.04,2.399,1.389,77.276,79.271
25.925,64.058,26.259,59.036,4.04,2.399,1.388,77.407,79.487
29.745,66.801,31.787,65.659,3.558,2.426,1.462,76.504,80.087
31.088,66.801,31.931,65.659,3.477,2.381,1.521,76.097,79.647
30.358,65.659,31.562,65.659,3.549,2.358,1.49,76.097,80.181
30.466,66.801,30.964,63.435,3.382,2.358,1.519,76.373,79.011
29.124,64.592,30.358,64.592,3.549,2.375,1.471,75.828,79.346
27.525,64.026,29.659,62.85,3.779,2.339,1.462,76.792,80.446
26.565,63.435,27.499,60.945,3.82,2.401,1.415,77.093,79.796
27.824,62.85,29.396,64.026,3.953,2.4,1.501,76.373,80.628
25.313,60.422,27.499,60.945,3.748,2.382,1.454,77.093,81.469
27.216,63.435,27.824,59.744,3.637,2.389,1.451,76.551,80.633
28.156,65.225,28.443,63.435,4.087,2.34,1.435,76.527,79.796
28.156,65.225,27.499,61.607,4.132,2.4,1.434,76.961,79.242
28.202,65.898,26.878,59.744,3.747,2.357,1.423,77.407,77.905
29.124,64.592,28.443,61.074,4.137,2.4,1.47,77.535,78.69
30.358,66.801,29.32,62.301,3.5,2.419,1.481,77.905,78.476
29.745,66.801,30.256,63.435,3.597,2.357,1.461,77.471,79.011
29.124,65.772,28.72,61.699,3.64,2.393,1.443,77.221,78.366
27.198,62.85,29.055,62.241,4.178,2.375,1.461,76.661,79.796
28.78,65.772,28.72,62.85,3.957,2.375,1.434,77.347,78.906
28.78,63.435,30.358,64.592,3.597,2.418,1.471,76.239,79.448
28.443,63.997,30.847,63.997,3.529,2.419,1.461,77.471,79.548
29.124,65.136,30.606,63.435,3.597,2.419,1.489,76.921,79.011
29.124,65.136,31.562,65.136,3.421,2.418,1.49,76.504,79.011
29.745,66.801,30.847,63.997,3.331,2.418,1.442,77.047,79.011
29.124,65.136,30.964,64.592,3.421,2.376,1.49,76.373,78.906
31.701,67.286,32.152,65.056,3.257,2.418,1.5,76.633,78.69
30.719,66.801,31.562,65.659,3.141,2.418,1.47,76.633,78.584
30.719,66.801,31.562,65.659,3.382,2.418,1.49,76.504,78.584
29.745,65.136,30.964,65.136,3.421,2.375,1.471,75.828,79.448
31.088,66.801,30.964,63.997,3.257,2.357,1.5,76.373,78.906
29.745,65.136,30.606,63.997,3.459,2.4,1.471,77.047,79.548
29.476,65.136,31.931,65.136,3.518,2.418,1.479,76.504,78.476
30.719,65.659,31.931,65.659,3.382,2.375,1.5,75.828,78.906
30.719,66.801,30.964,65.136,3.52,2.357,1.471,76.373,78.906
30.719,67.964,31.201,65.659,3.517,2.357,1.462,76.373,78.906
31.329,67.286,31.201,64.537,3.705,2.375,1.49,76.504,79.011
31.088,66.161,31.931,63.997,3.382,2.358,1.53,76.373,79.011
31.701,68.429,32.152,66.161,3.346,2.339,1.491,76.504,79.011
31.088,66.801,31.562,64.537,3.517,2.401,1.5,76.373,79.011
